Date,State,CO conc (ppm),NO2 conc (ppb),O3 conc (ppm),Pb conc (ug/m3 SC),PM10 conc (ug/m3 SC),PM2.5 conc (ug/m3 LC),SO2 conc (ppb),Total Cases,Confirmed Cases,Sum New Cases
2020-07-07,CA,0.27176470588235296,14.815625,0.051481865284974095,0.014,29.445652173913043,10.334899328859061,0.8244897959183674,277774.0,277774.0,6090.0
2020-07-08,CA,0.26453488372093026,15.195813953488372,0.054140410958904116,0.005386363636363637,33.42016806722689,11.741580756013747,0.6956140350877192,289468.0,289468.0,11694.0
2020-07-09,CA,0.2693181818181818,14.39765625,0.05536082474226804,0.010499999999999999,29.58695652173913,10.337837837837839,0.9897959183673469,296499.0,296499.0,7031.0
2020-07-10,CA,0.30574712643678165,17.888976377952755,0.056095959595959595,0.013,28.263736263736263,9.43904109589041,0.9729166666666668,304297.0,304297.0,7798.0
2020-07-11,CA,0.3231578947368421,15.773529411764704,0.05927142857142858,0.0115,29.844827586206897,8.533990147783252,1.3461538461538463,312344.0,312344.0,8047.0
2020-07-12,CA,0.2891566265060241,12.977235772357725,0.056,0.009,24.34090909090909,8.77676056338028,1.3977777777777778,320804.0,320804.0,8460.0
2020-07-13,CA,0.25662650602409637,12.798333333333334,0.04598387096774194,0.009,28.96470588235294,9.973758865248227,0.9613636363636363,329162.0,329162.0,8358.0
2020-07-14,CA,0.20206896551724138,10.090104166666666,0.048261992619926204,0.004883333333333333,29.01826484018265,9.688321167883212,0.797674418604651,336447.0,336447.0,7285.0
2020-07-15,CA,0.2325,10.191735537190082,0.05081151832460733,0.012,27.35164835164835,8.087919463087248,0.8911111111111112,347634.0,347634.0,11187.0
2020-07-16,CA,0.2617283950617284,11.806666666666667,0.05145263157894737,0.012,28.217391304347824,7.60472972972973,0.9022222222222223,356178.0,356178.0,8544.0
2020-07-17,CA,0.27045454545454545,11.594444444444445,0.049421568627450986,0.0085,27.08695652173913,6.9495000000000005,0.775,366164.0,366164.0,9986.0
2020-07-18,CA,0.27749999999999997,10.49016393442623,0.05109326424870467,0.007,24.870967741935484,6.744137931034483,1.1466666666666667,375363.0,375363.0,9199.0
2020-07-19,CA,0.26625,9.087603305785123,0.047595854922279794,0.01,22.57608695652174,6.476712328767124,0.8931818181818181,384692.0,384692.0,9329.0
2020-07-20,CA,0.26040268456375837,12.864736842105264,0.049137681159420285,0.00946376811594203,27.472972972972972,7.3802919708029195,0.7120879120879121,391538.0,391538.0,6846.0
2020-07-21,CA,0.254320987654321,12.060833333333333,0.047518518518518515,0.014,27.72826086956522,7.929166666666666,0.9266666666666667,400769.0,400769.0,9231.0
2020-07-22,CA,0.22716049382716053,10.817796610169491,0.044994680851063826,0.011,26.989247311827956,6.963636363636363,0.7866666666666666,413576.0,413576.0,12807.0
2020-07-23,CA,0.2157303370786517,9.236134453781512,0.04574874371859296,0.0085,24.58974358974359,6.3933333333333335,0.7833333333333333,425616.0,425616.0,12040.0
2020-07-24,CA,0.23209876543209879,11.176068376068375,0.04516145833333333,0.011,25.989473684210527,7.52054794520548,0.7022222222222223,434828.0,434828.0,9212.0
2020-07-25,CA,0.2468354430379747,9.25603448275862,0.047739583333333335,0.01,24.473684210526315,8.30608108108108,0.8755555555555555,445400.0,445400.0,10572.0
2020-07-26,CA,0.2746753246753247,10.882564102564102,0.05196085409252669,0.004385714285714285,23.746835443037973,8.675874125874126,0.6878787878787879,453659.0,453659.0,8259.0
2020-07-27,CA,0.2740740740740741,13.541592920353983,0.04890957446808511,0.013,26.48421052631579,8.039455782312924,0.9044444444444445,460550.0,460550.0,6891.0
2020-07-28,CA,0.275609756097561,13.572807017543859,0.05115343915343915,0.014,28.11340206185567,8.726174496644296,0.8772727272727273,466550.0,466550.0,6000.0
2020-07-29,CA,0.27191011235955054,14.8744,0.05366666666666667,0.0165,30.666666666666668,8.838775510204082,1.102127659574468,475305.0,475305.0,8755.0
2020-07-30,CA,0.3144578313253012,16.405882352941177,0.055718750000000004,0.017,29.210526315789473,8.68108108108108,0.9111111111111111,485502.0,485502.0,10197.0
2020-07-31,CA,0.38271604938271603,20.733333333333334,0.05395161290322581,0.015,28.0989010989011,8.502777777777778,1.1186046511627907,493588.0,493588.0,8086.0
2020-08-01,CA,0.41103896103896104,23.908121827411165,0.05280357142857143,0.007347826086956522,34.23684210526316,9.703928571428571,0.9680851063829787,500130.0,500130.0,6542.0
2020-08-02,CA,0.3075949367088608,12.285,0.04727748691099476,0.008,24.967741935483872,8.108666666666666,0.78,509162.0,509162.0,9032.0
2020-08-03,CA,0.3,16.136752136752136,0.050021052631578945,0.03,29.27173913043478,8.82185430463576,0.8681818181818183,514901.0,514901.0,5739.0
2020-08-04,CA,0.2616279069767442,11.848799999999999,0.04624752475247525,0.047,29.188034188034187,8.218536585365854,0.7106382978723403,519427.0,519427.0,4526.0
2020-08-05,CA,0.21772151898734177,9.31344537815126,0.042401069518716576,0.055,30.333333333333332,8.013245033112582,0.6022727272727273,524722.0,524722.0,5295.0
2020-08-06,CA,0.21927710843373494,10.588429752066116,0.04296825396825397,0.044,26.307692307692307,7.349668874172185,0.8355555555555556,529980.0,529980.0,5258.0
2020-08-07,CA,0.2389937106918239,13.946859903381643,0.05061168384879725,0.008428571428571428,28.036585365853657,8.257679180887372,0.8948979591836735,538416.0,538416.0,8436.0
2020-08-08,CA,0.31264367816091954,13.468253968253968,0.04871794871794872,0.012,27.873684210526317,9.564935064935066,0.963265306122449,545787.0,545787.0,7371.0
2020-08-09,CA,0.2747126436781609,9.72,0.04938461538461539,0.008,22.88421052631579,8.778571428571428,0.86875,554160.0,554160.0,8373.0
2020-08-10,CA,0.29677419354838713,14.63740458015267,0.04977294685990338,0.0195,31.537815126050422,8.270243902439026,0.8877551020408163,561911.0,561911.0,7751.0
2020-08-11,CA,0.3116279069767442,14.83089430894309,0.0466751269035533,0.039,29.0625,7.411612903225806,0.8145833333333333,574411.0,574411.0,12500.0
2020-08-12,CA,0.3896551724137931,21.54754098360656,0.05231937172774869,0.025,29.602150537634408,7.860645161290323,0.9377777777777778,586056.0,586056.0,11645.0
2020-08-13,CA,0.4125748502994012,23.58755980861244,0.056247422680412364,0.006647727272727272,39.48677248677249,9.202054794520548,0.9120370370370371,593141.0,593141.0,7085.0
2020-08-14,CA,0.4581395348837209,27.353543307086614,0.060244791666666665,0.025,39.516129032258064,10.601290322580645,2.1446808510638298,601075.0,601075.0,7934.0
2020-08-15,CA,0.47228915662650606,21.878512396694216,0.05900534759358289,0.012,37.47,11.208552631578948,1.1853658536585365,613689.0,613689.0,12614.0
2020-08-16,CA,0.3372340425531915,12.40546875,0.05368627450980392,0.0075,36.28333333333333,10.95377358490566,1.1744186046511629,621562.0,621562.0,7873.0
2020-08-17,CA,0.40625,19.80909090909091,0.05747179487179488,0.018,47.27956989247312,14.486451612903226,1.1023809523809522,628031.0,628031.0,6469.0
2020-08-18,CA,0.45180722891566266,23.22142857142857,0.06229896907216495,0.022,56.505376344086024,18.87677419354839,0.9978723404255319,632667.0,632667.0,4636.0
2020-08-19,CA,0.48490566037735844,24.423300970873786,0.06637630662020906,0.008171428571428573,59.135802469135804,26.04486301369863,0.936734693877551,638831.0,638831.0,6164.0
2020-08-20,CA,0.6275862068965518,20.77322834645669,0.06176288659793814,0.019,88.45161290322581,48.11096774193548,1.10625,644751.0,644751.0,5920.0
2020-08-21,CA,0.6481927710843373,20.6260162601626,0.061693121693121696,0.017,93.56521739130434,58.531578947368416,1.0045454545454546,650336.0,650336.0,5585.0
2020-08-22,CA,0.621978021978022,17.402290076335877,0.06141666666666667,0.01,79.44067796610169,52.94278846153846,1.351063829787234,656892.0,656892.0,6556.0
2020-08-23,CA,0.5962962962962963,11.292561983471074,0.05377127659574468,0.01,70.22826086956522,46.26107382550335,1.0452380952380953,663669.0,663669.0,6777.0
2020-08-24,CA,0.5901234567901235,14.533606557377048,0.05506914893617021,0.013,64.02197802197803,42.394666666666666,0.8906976744186046,668615.0,668615.0,4946.0
2020-08-25,CA,0.5041379310344827,14.84516129032258,0.0525410447761194,0.0058125,42.742990654205606,23.64059040590406,0.5560975609756098,673095.0,673095.0,4480.0
2020-08-26,CA,0.4121951219512195,15.050406504065041,0.0513419689119171,0.021,43.48351648351648,20.808609271523178,0.805128205128205,679099.0,679099.0,6004.0
2020-08-27,CA,0.4530120481927711,18.1172131147541,0.05347368421052632,0.016,46.51086956521739,19.42214765100671,1.0866666666666667,683529.0,683529.0,4430.0
