"",country,year,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov
1535,Germany,2020,14.619877,10.000000,12.0,99.957530,100.000000,100.0
1536,Germany,2021,15.926506,9.538821,23.0,91.297171,92.355466,91.0
1537,Germany,2020,15.363039,9.673746,22.0,97.860528,97.759325,100.0
1538,Germany,2021,13.237514,8.708991,13.0,99.463398,98.481095,100.0
1539,Germany,2020,13.237514,8.708991,13.0,99.463398,98.481095,100.0
1540,Germany,2021,10.558642,7.000000,6.000000,100.014616,99.000000,99.000000
1541,Germany,2020,9.414976,6.000000,6.000000,99.942014,99.000000,99.000000
1542,Germany,2021,12.332545,8.000000,12.000000,99.812326,100.000000,100.000000
1543,Germany,2020,13.476211,9.000000,12.000000,99.884928,100.000000,100.000000
1544,Germany,2021,11.839927,7.000000,17.000000,98.250943,100.000000,99.000000
1545,Germany,2020,14.052065,9.000000,17.000000,99.015460,100.000000,100.000000
1546,Germany,2021,17.136447,11.000000,23.271586,97.454898,100.000000,99.006646
1547,Germany,2020,15.620976,10.000000,19.983536,97.629212,99.000000,98.722974
1548,Germany,2021,11.657061,7.904822,6.000000,99.291127,97.859436,98.000000
1549,Germany,2020,11.620695,7.931724,6.000000,100.000601,98.450954,99.000000
1550,Germany,2020,15.599208,9.780941,23.000000,97.682432,97.679128,100.000000
1551,Germany,2021,12.529006,8.387406,10.000000,99.997688,98.721685,100.000000
1552,Germany,2020,12.292837,8.280211,9.000000,100.175784,98.801882,100.000000
1553,Germany,2021,18.433240,11.067282,35.000000,95.545272,96.716767,100.000000
1554,Germany,2020,18.669410,11.174477,36.000000,95.367176,96.636570,100.000000
1555,Germany,2021,13.354675,8.000000,21.000000,98.098126,99.000000,100.000000
1556,Germany,2020,15.656414,10.000000,21.000000,98.392487,100.000000,100.000000
1557,Germany,2021,4.000000,3.900286,5.000000,97.000000,97.051765,96.000000
1558,Germany,2020,4.000000,4.027481,10.000000,98.000000,98.893661,100.000000
1559,Germany,2021,15.835377,9.888137,24.000000,97.504335,97.598931,100.000000
1560,Germany,2020,15.163236,9.539649,21.000000,97.329151,97.248003,99.000000
1561,Germany,2021,15.126869,9.566551,21.000000,98.038625,97.839521,100.000000
1562,Germany,2021,16.071547,9.995332,25.000000,97.326238,97.518734,100.000000
1563,Germany,2020,16.543885,10.209722,27.000000,96.970045,97.358341,100.000000
1564,Germany,2021,15.504388,11.000000,10.000000,100.079604,98.000000,100.000000
1565,Germany,2021,17.960902,10.852892,33.000000,95.901465,96.877161,100.000000
