"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/16/2020","AQS","480290059","1","0.3","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/17/2020","AQS","480290059","1","0.5","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/18/2020","AQS","480290059","1","0.1","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/19/2020","AQS","480290059","1","0","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/20/2020","AQS","480290059","1","0","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/21/2020","AQS","480290059","1","0","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/22/2020","AQS","480290059","1","0.2","ppb","0","Calaveras Lake","22","92.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/23/2020","AQS","480290059","1","0.1","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/24/2020","AQS","480290059","1","0.5","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/25/2020","AQS","480290059","1","0.9","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/26/2020","AQS","480290059","1","0","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/27/2020","AQS","480290059","1","2.8","ppb","3","Calaveras Lake","22","92.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/28/2020","AQS","480290059","1","0.9","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"02/29/2020","AQS","480290059","1","0.4","ppb","0","Calaveras Lake","22","92.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"03/01/2020","AQS","480290059","1","0.1","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"03/02/2020","AQS","480290059","1","0.1","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
