"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/17/2022","AQS","482570005","1","8.4","ppb","8","Kaufman","24","100.0000","42602","Nitrogen dioxide (NO2)","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","257","Kaufman","32.564968","-96.317687"
"06/18/2022","AQS","482570005","1","9.6","ppb","8","Kaufman","24","100.0000","42602","Nitrogen dioxide (NO2)","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","257","Kaufman","32.564968","-96.317687"
"06/19/2022","AQS","482570005","1","6.1","ppb","6","Kaufman","19","79.0000","42602","Nitrogen dioxide (NO2)","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","257","Kaufman","32.564968","-96.317687"
"06/20/2022","AQS","482570005","1","7.5","ppb","7","Kaufman","24","100.0000","42602","Nitrogen dioxide (NO2)","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","257","Kaufman","32.564968","-96.317687"
"06/21/2022","AQS","482570005","1","9.4","ppb","8","Kaufman","24","100.0000","42602","Nitrogen dioxide (NO2)","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","257","Kaufman","32.564968","-96.317687"
"06/22/2022","AQS","482570005","1","7.1","ppb","7","Kaufman","19","79.0000","42602","Nitrogen dioxide (NO2)","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","257","Kaufman","32.564968","-96.317687"
"06/23/2022","AQS","482570005","1","12.5","ppb","11","Kaufman","20","83.0000","42602","Nitrogen dioxide (NO2)","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","257","Kaufman","32.564968","-96.317687"
"06/24/2022","AQS","482570005","1","7.9","ppb","7","Kaufman","24","100.0000","42602","Nitrogen dioxide (NO2)","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","257","Kaufman","32.564968","-96.317687"
"06/25/2022","AQS","482570005","1","5.3","ppb","5","Kaufman","24","100.0000","42602","Nitrogen dioxide (NO2)","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","257","Kaufman","32.564968","-96.317687"
"06/26/2022","AQS","482570005","1","4.3","ppb","4","Kaufman","20","83.0000","42602","Nitrogen dioxide (NO2)","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","257","Kaufman","32.564968","-96.317687"
