"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"08/07/2020","AQS","480290060","1","15","ug/m3 SC","14","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/13/2020","AQS","480290060","1","33","ug/m3 SC","31","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/19/2020","AQS","480290060","1","25","ug/m3 SC","23","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/25/2020","AQS","480290060","1","25","ug/m3 SC","23","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/31/2020","AQS","480290060","1","26","ug/m3 SC","24","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/06/2020","AQS","480290060","1","21","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/12/2020","AQS","480290060","1","20","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/18/2020","AQS","480290060","1","22","ug/m3 SC","20","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/24/2020","AQS","480290060","1","12","ug/m3 SC","11","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"09/30/2020","AQS","480290060","1","36","ug/m3 SC","33","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/06/2020","AQS","480290060","1","28","ug/m3 SC","26","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/12/2020","AQS","480290060","1","80","ug/m3 SC","63","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/18/2020","AQS","480290060","1","15","ug/m3 SC","14","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/24/2020","AQS","480290060","1","15","ug/m3 SC","14","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"10/30/2020","AQS","480290060","1","20","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"11/05/2020","AQS","480290060","1","23","ug/m3 SC","21","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"11/11/2020","AQS","480290060","1","23","ug/m3 SC","21","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"11/17/2020","AQS","480290060","1","28","ug/m3 SC","26","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"11/23/2020","AQS","480290060","1","18","ug/m3 SC","17","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"11/29/2020","AQS","480290060","1","7","ug/m3 SC","6","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"12/05/2020","AQS","480290060","1","24","ug/m3 SC","22","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"12/11/2020","AQS","480290060","1","30","ug/m3 SC","28","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"12/17/2020","AQS","480290060","1","23","ug/m3 SC","21","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"12/23/2020","AQS","480290060","1","21","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"12/29/2020","AQS","480290060","1","15","ug/m3 SC","14","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"01/04/2020","AQS","480291087","1","17","ug/m3 SC","16","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"01/10/2020","AQS","480291087","1","18","ug/m3 SC","17","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"01/16/2020","AQS","480291087","1","6","ug/m3 SC","6","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"01/22/2020","AQS","480291087","1","2","ug/m3 SC","2","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"01/28/2020","AQS","480291087","1","8","ug/m3 SC","7","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"02/03/2020","AQS","480291087","1","19","ug/m3 SC","18","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"02/09/2020","AQS","480291087","1","15","ug/m3 SC","14","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"02/15/2020","AQS","480291087","1","17","ug/m3 SC","16","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"02/21/2020","AQS","480291087","1","9","ug/m3 SC","8","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
"02/27/2020","AQS","480291087","1","12","ug/m3 SC","11","San Antonio Bulverde Parkway","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.635","-98.4177"
