"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/16/2021","AQS","060250005","7","0.00317","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"04/28/2021","AQS","060250005","7","0.00163","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"05/10/2021","AQS","060250005","7","0.00219","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"05/22/2021","AQS","060250005","7","0.0018","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"06/03/2021","AQS","060250005","7","0.0148","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"06/15/2021","AQS","060250005","7","0.012","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"06/27/2021","AQS","060250005","7","0.013","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"07/09/2021","AQS","060250005","7","0.0229","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"07/21/2021","AQS","060250005","7","0.0125","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"08/02/2021","AQS","060250005","7","0.00326","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"08/14/2021","AQS","060250005","7","0.00252","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"08/26/2021","AQS","060250005","7","0.00065","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"09/13/2021","AQS","060250005","7","0.0291","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"09/19/2021","AQS","060250005","7","0.00301","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"10/01/2021","AQS","060250005","7","0.0015","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"10/13/2021","AQS","060250005","7","0.00405","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"10/25/2021","AQS","060250005","7","0.007","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"11/06/2021","AQS","060250005","7","0.444","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"11/18/2021","AQS","060250005","7","0.00709","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"12/06/2021","AQS","060250005","7","0.0303","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"12/12/2021","AQS","060250005","7","0.00258","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"12/24/2021","AQS","060250005","7","0.00065","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"04/16/2021","AQS","060290014","7","0.00327","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"05/22/2021","AQS","060290014","7","0.00065","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"06/03/2021","AQS","060290014","7","0.00176","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"06/15/2021","AQS","060290014","7","0.00273","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"06/27/2021","AQS","060290014","7","0.00191","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"07/09/2021","AQS","060290014","7","0.00234","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"07/21/2021","AQS","060290014","7","0.00065","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"08/02/2021","AQS","060290014","7","0.00191","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"08/14/2021","AQS","060290014","7","0.00361","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"08/26/2021","AQS","060290014","7","0.00512","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"09/07/2021","AQS","060290014","7","0.00487","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"09/19/2021","AQS","060290014","7","0.00161","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"10/01/2021","AQS","060290014","7","0.00581","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"10/13/2021","AQS","060290014","7","0.00337","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"10/28/2021","AQS","060290014","7","0.00261","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"11/06/2021","AQS","060290014","7","0.00266","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"11/18/2021","AQS","060290014","7","0.0052","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"11/30/2021","AQS","060290014","7","0.00994","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"12/24/2021","AQS","060290014","7","0.00065","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
"04/15/2021","AQS","060290014","8","0.00292","ug/m3 SC",".","Bakersfield-California","1","100.0000","12128","Lead (TSP) STP","12540","Bakersfield, CA","06","California","029","Kern","35.356615","-119.062613"
